"","sev.year","DF","SumOfSqs","R2","F","P"
"1","U.2020_vs_U.2021",1,0.351260545,0.028140115,1.100286568,0.344
"2","U.2020_vs_U.2022",1,0.21695414,0.017170665,0.663884591,0.708
"3","U.2020_vs_U.2023",1,0.500696276,0.039974416,1.582278467,0.122
"4","U.2020_vs_U.2024",1,0.334687559,0.027148861,1.060446641,0.337
"5","L.2020_vs_L.2021",1,1.124807093,0.076530947,3.066312873,0.001
"6","L.2020_vs_L.2022",1,1.054476045,0.077910265,2.957260181,0.001
"7","L.2020_vs_L.2023",1,1.073760066,0.077348278,2.93414045,0.006
"8","L.2020_vs_L.2024",1,1.102338944,0.078554873,2.983813662,0.004
"9","H.2020_vs_H.2021",1,2.518347241,0.223402353,8.342374288,0.001
"10","H.2020_vs_H.2022",1,2.008563337,0.16759093,5.838640082,0.001
"11","H.2020_vs_H.2023",1,1.845637612,0.155653505,5.346089147,0.001
"12","H.2020_vs_H.2024",1,1.296773827,0.110984541,3.620355143,0.001
"13","U.2021_vs_U.2022",1,0.104273941,0.007991433,0.306120791,0.97
"14","U.2021_vs_U.2023",1,0.142922917,0.011259644,0.43273895,0.897
"15","U.2021_vs_U.2024",1,0.046353341,0.003689006,0.140701267,0.997
"16","L.2021_vs_L.2022",1,0.394925443,0.027628929,1.02290316,0.431
"17","L.2021_vs_L.2023",1,0.348982905,0.023941745,0.883044448,0.55
"18","L.2021_vs_L.2024",1,0.115515478,0.007985934,0.289807994,0.993
"19","H.2021_vs_H.2022",1,0.633333757,0.057685867,2.203820516,0.018
"20","H.2021_vs_H.2023",1,1.709673566,0.141403942,5.928913668,0.001
"21","H.2021_vs_H.2024",1,1.9276308,0.151967964,6.451226474,0.001
"22","U.2022_vs_U.2023",1,0.162478928,0.012498525,0.48095519,0.875
"23","U.2022_vs_U.2024",1,0.057020117,0.004432931,0.169201446,1
"24","L.2022_vs_L.2023",1,0.17205162,0.012929587,0.445364345,0.938
"25","L.2022_vs_L.2024",1,0.323595495,0.023828199,0.829934605,0.597
"26","H.2022_vs_H.2023",1,0.66952143,0.054554354,2.077281508,0.021
"27","H.2022_vs_H.2024",1,1.000864971,0.077110072,3.007902137,0.003
"28","U.2023_vs_U.2024",1,0.054607969,0.004380219,0.167180625,0.994
"29","L.2023_vs_L.2024",1,0.237537707,0.017184649,0.594494246,0.815
"30","H.2023_vs_H.2024",1,0.777629548,0.060791194,2.330134648,0.016
