element,x
U.2020_vs_U.2021:Df,1
U.2020_vs_U.2021:SumOfSqs,0.002589397
U.2020_vs_U.2021:R2,0.007103912
U.2020_vs_U.2021:F,0.271880066
U.2020_vs_U.2021:P,0.758
U.2020_vs_U.2022:Df,1
U.2020_vs_U.2022:SumOfSqs,0.009906321
U.2020_vs_U.2022:R2,0.019687323
U.2020_vs_U.2022:F,0.763142491
U.2020_vs_U.2022:P,0.409
U.2020_vs_U.2023:Df,1
U.2020_vs_U.2023:SumOfSqs,0.002914907
U.2020_vs_U.2023:R2,0.00746853
U.2020_vs_U.2023:F,0.285939707
U.2020_vs_U.2023:P,0.783
U.2020_vs_U.2024:Df,1
U.2020_vs_U.2024:SumOfSqs,0.002410217
U.2020_vs_U.2024:R2,0.008964955
U.2020_vs_U.2024:F,0.343749995
U.2020_vs_U.2024:P,0.78
U.2020_vs_L.2020:Df,1
U.2020_vs_L.2020:SumOfSqs,0.464724707
U.2020_vs_L.2020:R2,0.143934639
U.2020_vs_L.2020:F,6.220998883
U.2020_vs_L.2020:P,0.017
U.2020_vs_L.2021:Df,1
U.2020_vs_L.2021:SumOfSqs,1.765352642
U.2020_vs_L.2021:R2,0.395237479
U.2020_vs_L.2021:F,24.8345816
U.2020_vs_L.2021:P,0.001
U.2020_vs_L.2022:Df,1
U.2020_vs_L.2022:SumOfSqs,2.06959743
U.2020_vs_L.2022:R2,0.468703315
U.2020_vs_L.2022:F,31.75875141
U.2020_vs_L.2022:P,0.001
U.2020_vs_L.2023:Df,1
U.2020_vs_L.2023:SumOfSqs,1.787953206
U.2020_vs_L.2023:R2,0.366629526
U.2020_vs_L.2023:F,20.83877199
U.2020_vs_L.2023:P,0.001
U.2020_vs_L.2024:Df,1
U.2020_vs_L.2024:SumOfSqs,1.783345331
U.2020_vs_L.2024:R2,0.366996274
U.2020_vs_L.2024:F,20.87170316
U.2020_vs_L.2024:P,0.001
U.2020_vs_H.2020:Df,1
U.2020_vs_H.2020:SumOfSqs,1.24206263
U.2020_vs_H.2020:R2,0.246203888
U.2020_vs_H.2020:F,9.798560283
U.2020_vs_H.2020:P,0.001
U.2020_vs_H.2021:Df,1
U.2020_vs_H.2021:SumOfSqs,8.345976268
U.2020_vs_H.2021:R2,0.95276262
U.2020_vs_H.2021:F,746.2779885
U.2020_vs_H.2021:P,0.001
U.2020_vs_H.2022:Df,1
U.2020_vs_H.2022:SumOfSqs,7.364089304
U.2020_vs_H.2022:R2,0.856679627
U.2020_vs_H.2022:F,221.1628774
U.2020_vs_H.2022:P,0.001
U.2020_vs_H.2023:Df,1
U.2020_vs_H.2023:SumOfSqs,7.182319561
U.2020_vs_H.2023:R2,0.811308965
U.2020_vs_H.2023:F,159.0877472
U.2020_vs_H.2023:P,0.001
U.2020_vs_H.2024:Df,1
U.2020_vs_H.2024:SumOfSqs,6.38148976
U.2020_vs_H.2024:R2,0.818489482
U.2020_vs_H.2024:F,166.8449359
U.2020_vs_H.2024:P,0.001
U.2021_vs_U.2022:Df,1
U.2021_vs_U.2022:SumOfSqs,0.005176542
U.2021_vs_U.2022:R2,0.010602899
U.2021_vs_U.2022:F,0.407227955
U.2021_vs_U.2022:P,0.574
U.2021_vs_U.2023:Df,1
U.2021_vs_U.2023:SumOfSqs,0.000409237
U.2021_vs_U.2023:R2,0.001083919
U.2021_vs_U.2023:F,0.04123363
U.2021_vs_U.2023:P,0.929
U.2021_vs_U.2024:Df,1
U.2021_vs_U.2024:SumOfSqs,0.004744868
U.2021_vs_U.2024:R2,0.018183056
U.2021_vs_U.2024:F,0.703752506
U.2021_vs_U.2024:P,0.456
U.2021_vs_L.2020:Df,1
U.2021_vs_L.2020:SumOfSqs,0.422729236
U.2021_vs_L.2020:R2,0.133080549
U.2021_vs_L.2020:F,5.67985909
U.2021_vs_L.2020:P,0.02
U.2021_vs_L.2021:Df,1
U.2021_vs_L.2021:SumOfSqs,1.678340456
U.2021_vs_L.2021:R2,0.384119703
U.2021_vs_L.2021:F,23.70030147
U.2021_vs_L.2021:P,0.001
U.2021_vs_L.2022:Df,1
U.2021_vs_L.2022:SumOfSqs,1.980620745
U.2021_vs_L.2022:R2,0.458862506
U.2021_vs_L.2022:F,30.52653054
U.2021_vs_L.2022:P,0.001
U.2021_vs_L.2023:Df,1
U.2021_vs_L.2023:SumOfSqs,1.705720474
U.2021_vs_L.2023:R2,0.356527259
U.2021_vs_L.2023:F,19.94642581
U.2021_vs_L.2023:P,0.001
U.2021_vs_L.2024:Df,1
U.2021_vs_L.2024:SumOfSqs,1.701710254
U.2021_vs_L.2024:R2,0.356944809
U.2021_vs_L.2024:F,19.98275311
U.2021_vs_L.2024:P,0.001
U.2021_vs_H.2020:Df,1
U.2021_vs_H.2020:SumOfSqs,1.23740705
U.2021_vs_H.2020:R2,0.246007097
U.2021_vs_H.2020:F,9.788172934
U.2021_vs_H.2020:P,0.002
U.2021_vs_H.2021:Df,1
U.2021_vs_H.2021:SumOfSqs,8.148375614
U.2021_vs_H.2021:R2,0.95281125
U.2021_vs_H.2021:F,747.0851941
U.2021_vs_H.2021:P,0.001
U.2021_vs_H.2022:Df,1
U.2021_vs_H.2022:SumOfSqs,7.196433269
U.2021_vs_H.2022:R2,0.854866677
U.2021_vs_H.2022:F,217.9380056
U.2021_vs_H.2022:P,0.001
U.2021_vs_H.2023:Df,1
U.2021_vs_H.2023:SumOfSqs,7.021927869
U.2021_vs_H.2023:R2,0.8087794
U.2021_vs_H.2023:F,156.4937974
U.2021_vs_H.2023:P,0.001
U.2021_vs_H.2024:Df,1
U.2021_vs_H.2024:SumOfSqs,6.227540928
U.2021_vs_H.2024:R2,0.815925783
U.2021_vs_H.2024:F,164.0058807
U.2021_vs_H.2024:P,0.001
U.2022_vs_U.2023:Df,1
U.2022_vs_U.2023:SumOfSqs,0.003252656
U.2022_vs_U.2023:R2,0.006355835
U.2022_vs_U.2023:F,0.243066611
U.2022_vs_U.2023:P,0.691
U.2022_vs_U.2024:Df,1
U.2022_vs_U.2024:SumOfSqs,0.018580755
U.2022_vs_U.2024:R2,0.045748658
U.2022_vs_U.2024:F,1.821793605
U.2022_vs_U.2024:P,0.164
U.2022_vs_L.2020:Df,1
U.2022_vs_L.2020:SumOfSqs,0.346753652
U.2022_vs_L.2020:R2,0.107291666
U.2022_vs_L.2020:F,4.446907782
U.2022_vs_L.2020:P,0.046
U.2022_vs_L.2021:Df,1
U.2022_vs_L.2021:SumOfSqs,1.521593975
