Year,Severity,Df,Sum of Squares,R2,F,p
2020,U vs L,1,0.465,0.144,6.221,0.017
,U vs H,1,1.242,0.246,9.799,0.001
,L vs H,1,0.608,0.089,2.847,0.048
2021,U vs L,1,1.678,0.384,23.700,0.001
,U vs H,1,8.148,0.953,747.085,0.001
,L vs H,1,2.498,0.477,33.692,0.001
2022,U vs L,1,1.809,0.423,26.402,0.001
,U vs H,1,6.867,0.835,187.768,0.001
,L vs H,1,1.484,0.316,16.198,0.002
2023,U vs L,1,1.673,0.350,19.406,0.001
,U vs H,1,6.952,0.805,152.596,0.001
,L vs H,1,1.681,0.277,13.412,0.002
2024,U vs L,1,1.887,0.389,22.876,0.001
,U vs H,1,6.587,0.834,186.128,0.001
,L vs H,1,1.317,0.242,11.189,0.003
