element,x
U.2020_vs_U.2021:Df,1
U.2020_vs_U.2021:SumOfSqs,0.0004095
U.2020_vs_U.2021:R2,0.056921498
U.2020_vs_U.2021:F,2.293570403
U.2020_vs_U.2021:P,0.158
U.2020_vs_U.2022:Df,1
U.2020_vs_U.2022:SumOfSqs,2.14E-05
U.2020_vs_U.2022:R2,0.024679082
U.2020_vs_U.2022:F,0.961534926
U.2020_vs_U.2022:P,0.476
U.2020_vs_U.2023:Df,1
U.2020_vs_U.2023:SumOfSqs,1.52E-05
U.2020_vs_U.2023:R2,0.034474194
U.2020_vs_U.2023:F,1.356793751
U.2020_vs_U.2023:P,0.337
U.2020_vs_U.2024:Df,1
U.2020_vs_U.2024:SumOfSqs,0.000359658
U.2020_vs_U.2024:R2,0.043081859
U.2020_vs_U.2024:F,1.710815779
U.2020_vs_U.2024:P,0.235
U.2020_vs_L.2020:Df,1
U.2020_vs_L.2020:SumOfSqs,1.45E-06
U.2020_vs_L.2020:R2,0.025
U.2020_vs_L.2020:F,0.948717949
U.2020_vs_L.2020:P,1
U.2020_vs_L.2021:Df,1
U.2020_vs_L.2021:SumOfSqs,0.002999906
U.2020_vs_L.2021:R2,0.094025516
U.2020_vs_L.2021:F,3.943786152
U.2020_vs_L.2021:P,0.007
U.2020_vs_L.2022:Df,1
U.2020_vs_L.2022:SumOfSqs,0.006765351
U.2020_vs_L.2022:R2,0.042817519
U.2020_vs_L.2022:F,1.610383319
U.2020_vs_L.2022:P,0.043
U.2020_vs_L.2023:Df,1
U.2020_vs_L.2023:SumOfSqs,0.002578743
U.2020_vs_L.2023:R2,0.048470775
U.2020_vs_L.2023:F,1.833835333
U.2020_vs_L.2023:P,0.094
U.2020_vs_L.2024:Df,1
U.2020_vs_L.2024:SumOfSqs,0.010925998
U.2020_vs_L.2024:R2,0.063161828
U.2020_vs_L.2024:F,2.427127626
U.2020_vs_L.2024:P,0.11
U.2020_vs_H.2020:Df,1
U.2020_vs_H.2020:SumOfSqs,1.12E-06
U.2020_vs_H.2020:R2,0.019354839
U.2020_vs_H.2020:F,0.592105263
U.2020_vs_H.2020:P,1
U.2020_vs_H.2021:Df,1
U.2020_vs_H.2021:SumOfSqs,5.477671538
U.2020_vs_H.2021:R2,0.782888014
U.2020_vs_H.2021:F,133.4189654
U.2020_vs_H.2021:P,0.001
U.2020_vs_H.2022:Df,1
U.2020_vs_H.2022:SumOfSqs,2.920755108
U.2020_vs_H.2022:R2,0.551024595
U.2020_vs_H.2022:F,45.40985932
U.2020_vs_H.2022:P,0.001
U.2020_vs_H.2023:Df,1
U.2020_vs_H.2023:SumOfSqs,1.417747822
U.2020_vs_H.2023:R2,0.438266065
U.2020_vs_H.2023:F,28.86748227
U.2020_vs_H.2023:P,0.001
U.2020_vs_H.2024:Df,1
U.2020_vs_H.2024:SumOfSqs,1.47608825
U.2020_vs_H.2024:R2,0.435561826
U.2020_vs_H.2024:F,28.55190933
U.2020_vs_H.2024:P,0.001
U.2021_vs_U.2022:Df,1
U.2021_vs_U.2022:SumOfSqs,0.00024381
U.2021_vs_U.2022:R2,0.031421758
U.2021_vs_U.2022:F,1.232762357
U.2021_vs_U.2022:P,0.335
U.2021_vs_U.2023:Df,1
U.2021_vs_U.2023:SumOfSqs,0.000267118
U.2021_vs_U.2023:R2,0.036279531
U.2021_vs_U.2023:F,1.430520796
U.2021_vs_U.2023:P,0.391
U.2021_vs_U.2024:Df,1
U.2021_vs_U.2024:SumOfSqs,1.62E-06
U.2021_vs_U.2024:R2,0.000110262
U.2021_vs_U.2024:F,0.004190427
U.2021_vs_U.2024:P,0.94
U.2021_vs_L.2020:Df,1
U.2021_vs_L.2020:SumOfSqs,0.0004486
U.2021_vs_L.2020:R2,0.062509003
U.2021_vs_L.2020:F,2.467045681
U.2021_vs_L.2020:P,0.181
U.2021_vs_L.2021:Df,1
U.2021_vs_L.2021:SumOfSqs,0.001192686
U.2021_vs_L.2021:R2,0.032436988
U.2021_vs_L.2021:F,1.273927912
U.2021_vs_L.2021:P,0.283
U.2021_vs_L.2022:Df,1
U.2021_vs_L.2022:SumOfSqs,0.003913175
U.2021_vs_L.2022:R2,0.02418176
U.2021_vs_L.2022:F,0.892116294
U.2021_vs_L.2022:P,0.527
U.2021_vs_L.2023:Df,1
U.2021_vs_L.2023:SumOfSqs,0.000966274
U.2021_vs_L.2023:R2,0.0165853
U.2021_vs_L.2023:F,0.60714039
U.2021_vs_L.2023:P,0.615
U.2021_vs_L.2024:Df,1
U.2021_vs_L.2024:SumOfSqs,0.007196319
U.2021_vs_L.2024:R2,0.040905413
U.2021_vs_L.2024:F,1.535401083
U.2021_vs_L.2024:P,0.39
U.2021_vs_H.2020:Df,1
U.2021_vs_H.2020:SumOfSqs,0.000345304
U.2021_vs_H.2020:R2,0.048818148
U.2021_vs_H.2020:F,1.539710231
U.2021_vs_H.2020:P,0.263
U.2021_vs_H.2021:Df,1
U.2021_vs_H.2021:SumOfSqs,5.384569935
U.2021_vs_H.2021:R2,0.779207089
U.2021_vs_H.2021:F,130.5778437
