element,x
U.2020_vs_L.2020:DF,1
U.2020_vs_L.2020:SumOfSqs,0.537271278
U.2020_vs_L.2020:R2,0.043269453
U.2020_vs_L.2020:F,1.673375805
U.2020_vs_L.2020:P,0.1
U.2020_vs_H.2020:DF,1
U.2020_vs_H.2020:SumOfSqs,1.768761401
U.2020_vs_H.2020:R2,0.15035303
U.2020_vs_H.2020:F,5.308782407
U.2020_vs_H.2020:P,0.001
U.2020_vs_U.2021:DF,1
U.2020_vs_U.2021:SumOfSqs,0.351260545
U.2020_vs_U.2021:R2,0.028140115
U.2020_vs_U.2021:F,1.100286568
U.2020_vs_U.2021:P,0.344
U.2020_vs_L.2021:DF,1
U.2020_vs_L.2021:SumOfSqs,1.454668677
U.2020_vs_L.2021:R2,0.098599968
U.2020_vs_L.2021:F,4.156643742
U.2020_vs_L.2021:P,0.001
U.2020_vs_H.2021:DF,1
U.2020_vs_H.2021:SumOfSqs,4.385194196
U.2020_vs_H.2021:R2,0.29730509
U.2020_vs_H.2021:F,15.65443008
U.2020_vs_H.2021:P,0.001
U.2020_vs_U.2022:DF,1
U.2020_vs_U.2022:SumOfSqs,0.21695414
U.2020_vs_U.2022:R2,0.017170665
U.2020_vs_U.2022:F,0.663884591
U.2020_vs_U.2022:P,0.708
U.2020_vs_L.2022:DF,1
U.2020_vs_L.2022:SumOfSqs,1.366379796
U.2020_vs_L.2022:R2,0.100673719
U.2020_vs_L.2022:F,4.029965512
U.2020_vs_L.2022:P,0.001
U.2020_vs_H.2022:DF,1
U.2020_vs_H.2022:SumOfSqs,3.648176648
U.2020_vs_H.2022:R2,0.239463421
U.2020_vs_H.2022:F,11.64986248
U.2020_vs_H.2022:P,0.001
U.2020_vs_U.2023:DF,1
U.2020_vs_U.2023:SumOfSqs,0.500696276
U.2020_vs_U.2023:R2,0.039974416
U.2020_vs_U.2023:F,1.582278467
U.2020_vs_U.2023:P,0.122
U.2020_vs_L.2023:DF,1
U.2020_vs_L.2023:SumOfSqs,1.280876467
U.2020_vs_L.2023:R2,0.092714865
U.2020_vs_L.2023:F,3.678816095
U.2020_vs_L.2023:P,0.001
U.2020_vs_H.2023:DF,1
U.2020_vs_H.2023:SumOfSqs,3.640544465
U.2020_vs_H.2023:R2,0.238528384
U.2020_vs_H.2023:F,11.59012368
U.2020_vs_H.2023:P,0.001
U.2020_vs_U.2024:DF,1
U.2020_vs_U.2024:SumOfSqs,0.334687559
U.2020_vs_U.2024:R2,0.027148861
U.2020_vs_U.2024:F,1.060446641
U.2020_vs_U.2024:P,0.337
U.2020_vs_L.2024:DF,1
U.2020_vs_L.2024:SumOfSqs,1.420344854
U.2020_vs_L.2024:R2,0.100900477
U.2020_vs_L.2024:F,4.040061274
U.2020_vs_L.2024:P,0.001
U.2020_vs_H.2024:DF,1
U.2020_vs_H.2024:SumOfSqs,3.28913004
U.2020_vs_H.2024:R2,0.215160074
U.2020_vs_H.2024:F,10.14337122
U.2020_vs_H.2024:P,0.001
L.2020_vs_H.2020:DF,1
L.2020_vs_H.2020:SumOfSqs,1.084840918
L.2020_vs_H.2020:R2,0.095545552
L.2020_vs_H.2020:F,3.063527427
L.2020_vs_H.2020:P,0.003
L.2020_vs_U.2021:DF,1
L.2020_vs_U.2021:SumOfSqs,0.862970866
L.2020_vs_U.2021:R2,0.065040021
L.2020_vs_U.2021:F,2.573886391
L.2020_vs_U.2021:P,0.015
L.2020_vs_L.2021:DF,1
L.2020_vs_L.2021:SumOfSqs,1.124807093
L.2020_vs_L.2021:R2,0.076530947
L.2020_vs_L.2021:F,3.066312873
L.2020_vs_L.2021:P,0.001
L.2020_vs_H.2021:DF,1
L.2020_vs_H.2021:SumOfSqs,3.912151599
L.2020_vs_H.2021:R2,0.268861444
L.2020_vs_H.2021:F,13.23827323
L.2020_vs_H.2021:P,0.001
L.2020_vs_U.2022:DF,1
L.2020_vs_U.2022:SumOfSqs,0.579289768
L.2020_vs_U.2022:R2,0.04364903
L.2020_vs_U.2022:F,1.688725328
L.2020_vs_U.2022:P,0.087
L.2020_vs_L.2022:DF,1
L.2020_vs_L.2022:SumOfSqs,1.054476045
L.2020_vs_L.2022:R2,0.077910265
L.2020_vs_L.2022:F,2.957260181
L.2020_vs_L.2022:P,0.001
L.2020_vs_H.2022:DF,1
L.2020_vs_H.2022:SumOfSqs,3.295836339
L.2020_vs_H.2022:R2,0.217453703
L.2020_vs_H.2022:F,10.00366792
L.2020_vs_H.2022:P,0.001
L.2020_vs_U.2023:DF,1
L.2020_vs_U.2023:SumOfSqs,0.653834847
L.2020_vs_U.2023:R2,0.050479056
L.2020_vs_U.2023:F,1.967018294
L.2020_vs_U.2023:P,0.062
L.2020_vs_L.2023:DF,1
L.2020_vs_L.2023:SumOfSqs,1.073760066
L.2020_vs_L.2023:R2,0.077348278
L.2020_vs_L.2023:F,2.93414045
L.2020_vs_L.2023:P,0.006
L.2020_vs_H.2023:DF,1
L.2020_vs_H.2023:SumOfSqs,3.208476584
L.2020_vs_H.2023:R2,0.212418688
L.2020_vs_H.2023:F,9.709566061
L.2020_vs_H.2023:P,0.001
L.2020_vs_U.2024:DF,1
L.2020_vs_U.2024:SumOfSqs,0.605057321
L.2020_vs_U.2024:R2,0.047004685
L.2020_vs_U.2024:F,1.824954758
L.2020_vs_U.2024:P,0.08
L.2020_vs_L.2024:DF,1
L.2020_vs_L.2024:SumOfSqs,1.102338944
L.2020_vs_L.2024:R2,0.078554873
L.2020_vs_L.2024:F,2.983813662
L.2020_vs_L.2024:P,0.004
L.2020_vs_H.2024:DF,1
L.2020_vs_H.2024:SumOfSqs,2.8496789
L.2020_vs_H.2024:R2,0.1884523
L.2020_vs_H.2024:F,8.359684577
L.2020_vs_H.2024:P,0.001
H.2020_vs_U.2021:DF,1
H.2020_vs_U.2021:SumOfSqs,1.626780141
H.2020_vs_U.2021:R2,0.133915532
H.2020_vs_U.2021:F,4.63865375
H.2020_vs_U.2021:P,0.001
H.2020_vs_L.2021:DF,1
H.2020_vs_L.2021:SumOfSqs,1.185304702
H.2020_vs_L.2021:R2,0.092072473
H.2020_vs_L.2021:F,3.042284874
H.2020_vs_L.2021:P,0.001
H.2020_vs_H.2021:DF,1
H.2020_vs_H.2021:SumOfSqs,2.518347241
H.2020_vs_H.2021:R2,0.223402353
H.2020_vs_H.2021:F,8.342374288
H.2020_vs_H.2021:P,0.001
H.2020_vs_U.2022:DF,1
H.2020_vs_U.2022:SumOfSqs,1.4576116
H.2020_vs_U.2022:R2,0.118837822
H.2020_vs_U.2022:F,4.045946068
H.2020_vs_U.2022:P,0.001
H.2020_vs_L.2022:DF,1
H.2020_vs_L.2022:SumOfSqs,1.270427912
H.2020_vs_L.2022:R2,0.10706329
H.2020_vs_L.2022:F,3.357205586
H.2020_vs_L.2022:P,0.001
H.2020_vs_H.2022:DF,1
H.2020_vs_H.2022:SumOfSqs,2.008563337
H.2020_vs_H.2022:R2,0.16759093
H.2020_vs_H.2022:F,5.838640082
H.2020_vs_H.2022:P,0.001
H.2020_vs_U.2023:DF,1
H.2020_vs_U.2023:SumOfSqs,1.56809766
H.2020_vs_U.2023:R2,0.130865079
H.2020_vs_U.2023:F,4.517080455
H.2020_vs_U.2023:P,0.001
H.2020_vs_L.2023:DF,1
H.2020_vs_L.2023:SumOfSqs,1.217278801
H.2020_vs_L.2023:R2,0.100258873
H.2020_vs_L.2023:F,3.120062367
H.2020_vs_L.2023:P,0.001
H.2020_vs_H.2023:DF,1
H.2020_vs_H.2023:SumOfSqs,1.845637612
H.2020_vs_H.2023:R2,0.155653505
H.2020_vs_H.2023:F,5.346089147
H.2020_vs_H.2023:P,0.001
H.2020_vs_U.2024:DF,1
H.2020_vs_U.2024:SumOfSqs,1.539541732
H.2020_vs_U.2024:R2,0.129129597
H.2020_vs_U.2024:F,4.448294384
H.2020_vs_U.2024:P,0.001
H.2020_vs_L.2024:DF,1
H.2020_vs_L.2024:SumOfSqs,1.137887596
H.2020_vs_L.2024:R2,0.093392211
H.2020_vs_L.2024:F,2.884358527
H.2020_vs_L.2024:P,0.003
H.2020_vs_H.2024:DF,1
H.2020_vs_H.2024:SumOfSqs,1.296773827
H.2020_vs_H.2024:R2,0.110984541
H.2020_vs_H.2024:F,3.620355143
H.2020_vs_H.2024:P,0.001
U.2021_vs_L.2021:DF,1
U.2021_vs_L.2021:SumOfSqs,0.957886452
U.2021_vs_L.2021:R2,0.064800046
U.2021_vs_L.2021:F,2.633021655
U.2021_vs_L.2021:P,0.01
U.2021_vs_H.2021:DF,1
U.2021_vs_H.2021:SumOfSqs,3.954603948
U.2021_vs_H.2021:R2,0.266393795
U.2021_vs_H.2021:F,13.4357784
U.2021_vs_H.2021:P,0.001
U.2021_vs_U.2022:DF,1
U.2021_vs_U.2022:SumOfSqs,0.104273941
U.2021_vs_U.2022:R2,0.007991433
U.2021_vs_U.2022:F,0.306120791
U.2021_vs_U.2022:P,0.97
U.2021_vs_L.2022:DF,1
U.2021_vs_L.2022:SumOfSqs,1.115248281
U.2021_vs_L.2022:R2,0.080541018
U.2021_vs_L.2022:F,3.1534595
U.2021_vs_L.2022:P,0.003
U.2021_vs_H.2022:DF,1
U.2021_vs_H.2022:SumOfSqs,3.35612271
U.2021_vs_H.2022:R2,0.216965302
U.2021_vs_H.2022:F,10.25205675
U.2021_vs_H.2022:P,0.001
U.2021_vs_U.2023:DF,1
U.2021_vs_U.2023:SumOfSqs,0.142922917
U.2021_vs_U.2023:R2,0.011259644
U.2021_vs_U.2023:F,0.43273895
U.2021_vs_U.2023:P,0.897
U.2021_vs_L.2023:DF,1
U.2021_vs_L.2023:SumOfSqs,0.956421212
U.2021_vs_L.2023:R2,0.068235379
U.2021_vs_L.2023:F,2.636367149
U.2021_vs_L.2023:P,0.009
U.2021_vs_H.2023:DF,1
U.2021_vs_H.2023:SumOfSqs,3.253621031
U.2021_vs_H.2023:R2,0.211255835
U.2021_vs_H.2023:F,9.910014217
U.2021_vs_H.2023:P,0.001
U.2021_vs_U.2024:DF,1
U.2021_vs_U.2024:SumOfSqs,0.046353341
U.2021_vs_U.2024:R2,0.003689006
U.2021_vs_U.2024:F,0.140701267
U.2021_vs_U.2024:P,0.997
U.2021_vs_L.2024:DF,1
U.2021_vs_L.2024:SumOfSqs,0.969287347
U.2021_vs_L.2024:R2,0.068494255
U.2021_vs_L.2024:F,2.647104641
U.2021_vs_L.2024:P,0.01
U.2021_vs_H.2024:DF,1
U.2021_vs_H.2024:SumOfSqs,2.793892748
U.2021_vs_H.2024:R2,0.182400007
U.2021_vs_H.2024:F,8.254403525
U.2021_vs_H.2024:P,0.001
L.2021_vs_H.2021:DF,1
L.2021_vs_H.2021:SumOfSqs,2.680332283
L.2021_vs_H.2021:R2,0.181865934
L.2021_vs_H.2021:F,8.224861721
L.2021_vs_H.2021:P,0.001
L.2021_vs_U.2022:DF,1
L.2021_vs_U.2022:SumOfSqs,0.993646964
L.2021_vs_U.2022:R2,0.065783252
L.2021_vs_U.2022:F,2.675785461
L.2021_vs_U.2022:P,0.007
L.2021_vs_L.2022:DF,1
L.2021_vs_L.2022:SumOfSqs,0.394925443
L.2021_vs_L.2022:R2,0.027628929
L.2021_vs_L.2022:F,1.02290316
L.2021_vs_L.2022:P,0.431
L.2021_vs_H.2022:DF,1
L.2021_vs_H.2022:SumOfSqs,2.213992121
L.2021_vs_H.2022:R2,0.142897025
L.2021_vs_H.2022:F,6.168675289
L.2021_vs_H.2022:P,0.001
L.2021_vs_U.2023:DF,1
L.2021_vs_U.2023:SumOfSqs,0.964573245
L.2021_vs_U.2023:R2,0.065696323
L.2021_vs_U.2023:F,2.672000918
L.2021_vs_U.2023:P,0.003
L.2021_vs_L.2023:DF,1
L.2021_vs_L.2023:SumOfSqs,0.348982905
L.2021_vs_L.2023:R2,0.023941745
L.2021_vs_L.2023:F,0.883044448
L.2021_vs_L.2023:P,0.55
L.2021_vs_H.2023:DF,1
L.2021_vs_H.2023:SumOfSqs,1.954895742
L.2021_vs_H.2023:R2,0.128023002
L.2021_vs_H.2023:F,5.432311949
L.2021_vs_H.2023:P,0.001
L.2021_vs_U.2024:DF,1
L.2021_vs_U.2024:SumOfSqs,0.863409391
L.2021_vs_U.2024:R2,0.0593425
L.2021_vs_U.2024:F,2.397275303
L.2021_vs_U.2024:P,0.008
L.2021_vs_L.2024:DF,1
L.2021_vs_L.2024:SumOfSqs,0.115515478
L.2021_vs_L.2024:R2,0.007985934
L.2021_vs_L.2024:F,0.289807994
L.2021_vs_L.2024:P,0.993
L.2021_vs_H.2024:DF,1
L.2021_vs_H.2024:SumOfSqs,1.433281161
L.2021_vs_H.2024:R2,0.094768308
L.2021_vs_H.2024:F,3.873513757
L.2021_vs_H.2024:P,0.001
H.2021_vs_U.2022:DF,1
H.2021_vs_U.2022:SumOfSqs,3.896570164
H.2021_vs_U.2022:R2,0.258498923
H.2021_vs_U.2022:F,12.89878121
H.2021_vs_U.2022:P,0.001
H.2021_vs_L.2022:DF,1
H.2021_vs_L.2022:SumOfSqs,2.988933397
H.2021_vs_L.2022:R2,0.214199524
H.2021_vs_L.2022:F,9.540568594
H.2021_vs_L.2022:P,0.001
H.2021_vs_H.2022:DF,1
H.2021_vs_H.2022:SumOfSqs,0.633333757
H.2021_vs_H.2022:R2,0.057685867
H.2021_vs_H.2022:F,2.203820516
H.2021_vs_H.2022:P,0.018
H.2021_vs_U.2023:DF,1
H.2021_vs_U.2023:SumOfSqs,4.121312381
H.2021_vs_U.2023:R2,0.276503677
H.2021_vs_U.2023:F,14.14055013
H.2021_vs_U.2023:P,0.001
H.2021_vs_L.2023:DF,1
H.2021_vs_L.2023:SumOfSqs,3.046721992
H.2021_vs_L.2023:R2,0.212461339
H.2021_vs_L.2023:F,9.442262644
H.2021_vs_L.2023:P,0.001
H.2021_vs_H.2023:DF,1
H.2021_vs_H.2023:SumOfSqs,1.709673566
H.2021_vs_H.2023:R2,0.141403942
H.2021_vs_H.2023:F,5.928913668
H.2021_vs_H.2023:P,0.001
H.2021_vs_U.2024:DF,1
